month,sector,failure_rate,avg_transaction_amount
2019-06,"Other",0.015940203149,322.13415207
2019-07,"Total",0.016819460223,300.49515762
2019-07,"Electricity and gas",0.011052237784,121.91215565
2019-07,"Fitness facilities",0.034123937734,28.71345315
2019-07,"Loans",0.03719174614,284.86470193
2019-07,"Mortgages",0.009363406995,683.41558456
2019-07,"Water",0.007795948608,41.58626329
2019-07,"Other",0.016906200986,317.11544986
2019-08,"Total",0.016109743928,294.70002811
2019-08,"Electricity and gas",0.009972517551,119.85457772
2019-08,"Fitness facilities",0.029538544935,28.55800904
2019-08,"Loans",0.033197703708,244.48531226
2019-08,"Mortgages",0.0080401319,686.76323752
2019-08,"Water",0.007640279743,41.14491297
2019-08,"Other",0.016336688663,312.42096249
2019-09,"Total",0.016233445324,306.37043025
2019-09,"Electricity and gas",0.010080667506,120.32389885
2019-09,"Fitness facilities",0.028914382772,29.5260823
2019-09,"Loans",0.035876313217,312.71979786
2019-09,"Mortgages",0.007589086719,689.38748773
2019-09,"Water",0.007263312296,44.46100687
2019-09,"Other",0.016461268064,323.50340577
2019-10,"Total",0.017061668865,297.85374204
2019-10,"Electricity and gas",0.011077737421,118.659555
2019-10,"Fitness facilities",0.031174542099,28.98718504
2019-10,"Loans",0.036952066995,283.15903284
2019-10,"Mortgages",0.009056626118,689.67667351
2019-10,"Water",0.007773943694,42.13036052
2019-10,"Other",0.01719988118,314.1745514
2019-11,"Total",0.014733862612,295.61434451
2019-11,"Electricity and gas",0.009001534977,118.07993277
2019-11,"Fitness facilities",0.026033436834,28.79393707
2019-11,"Loans",0.030311210842,254.42795008
2019-11,"Mortgages",0.00701025278,691.00838022
2019-11,"Water",0.006648199564,40.40506922
2019-11,"Other",0.01495867208,312.6571978
2019-12,"Total",0.0159772837,292.44273603
2019-12,"Electricity and gas",0.010344198066,124.22562034
2019-12,"Fitness facilities",0.031222349722,29.08951247
2019-12,"Loans",0.036233324497,263.47336317
2019-12,"Mortgages",0.008083759376,690.8829521
2019-12,"Water",0.008242200074,39.77197788
2019-12,"Other",0.015984151923,307.07604618
2020-01,"Total",0.019181111649,286.06280617
2020-01,"Electricity and gas",0.011575593517,121.21347697
2020-01,"Fitness facilities",0.03012072153,29.28854606
2020-01,"Loans",0.039717542169,253.81191715
2020-01,"Mortgages",0.009399437749,690.82274859
2020-01,"Water",0.009925170337,38.82930044
2020-01,"Other",0.019394189365,300.42341686
2020-02,"Total",0.016472113486,296.34519844
2020-02,"Electricity and gas",0.00946636619,123.52677352
2020-02,"Fitness facilities",0.031394105108,28.84702856
2020-02,"Loans",0.033242450807,266.11051471
2020-02,"Mortgages",0.006542715525,697.34974591
2020-02,"Water",0.007422810766,38.70025104
2020-02,"Other",0.016743736892,312.44276958
2020-03,"Total",0.017702977464,292.00331035
2020-03,"Electricity and gas",0.011569408592,124.35508712
2020-03,"Fitness facilities",0.056516594392,22.41835902
2020-03,"Loans",0.039450427651,306.24848691
2020-03,"Mortgages",0.008751486953,684.4341789
2020-03,"Water",0.007190889412,44.09614048
2020-03,"Other",0.017741814447,305.19564823
2020-04,"Total",0.013913143289,233.66107366
2020-04,"Electricity and gas",0.009555897317,115.28310415
2020-04,"Fitness facilities",0.026403302084,28.63742334
2020-04,"Loans",0.031989891737,170.5719832
2020-04,"Mortgages",0.007633036891,664.10014244
2020-04,"Water",0.006222042434,40.92836104
2020-04,"Other",0.014083348389,244.55169761
2020-05,"Total",0.010970192214,217.04430683
2020-05,"Electricity and gas",0.007579936517,108.13786617
2020-05,"Fitness facilities",0.021121286878,23.82047599
2020-05,"Loans",0.023788841261,162.96947927
2020-05,"Mortgages",0.00403893436,657.22969703
2020-05,"Water",0.004488504531,39.66733274
2020-05,"Other",0.011177492227,226.75306829
2020-06,"Total",0.011046676855,234.51163466
2020-06,"Electricity and gas",0.007833952781,106.32180706
2020-06,"Fitness facilities",0.015400375619,21.92373758
2020-06,"Loans",0.023807337612,247.4452427
2020-06,"Mortgages",0.003422956098,661.33406579
2020-06,"Water",0.004654847468,39.90680229
2020-06,"Other",0.011269465625,243.67829099
2020-07,"Total",0.011223901142,253.58461684
2020-07,"Electricity and gas",0.0077008301,106.03363459
2020-07,"Fitness facilities",0.014269771575,25.96475394
2020-07,"Loans",0.022090962574,279.16992038
2020-07,"Mortgages",0.004022064435,668.31826243
2020-07,"Water",0.00473872549,39.33182971
2020-07,"Other",0.011508959859,265.22180295
2020-08,"Total",0.011968677948,264.39233875
2020-08,"Electricity and gas",0.008907861365,110.04179846
2020-08,"Fitness facilities",0.037211571805,26.66006244
2020-08,"Loans",0.022742335027,262.06865009
2020-08,"Mortgages",0.004060010394,678.24331554
2020-08,"Water",0.005054039154,39.54774981
2020-08,"Other",0.012142776026,278.12564111
2020-09,"Total",0.013065341752,269.69517618
2020-09,"Electricity and gas",0.009832411522,106.71659857
2020-09,"Fitness facilities",0.040739061604,25.08002854
2020-09,"Loans",0.027559195584,346.38573575
2020-09,"Mortgages",0.004963300469,677.94030218
2020-09,"Water",0.005759895607,42.18846901
2020-09,"Other",0.013165716603,281.90374234
2020-10,"Total",0.012832673149,266.68030667
2020-10,"Electricity and gas",0.009067548306,111.12209418
2020-10,"Fitness facilities",0.03723091945,25.1766115
2020-10,"Loans",0.024173228431,287.54440307
2020-10,"Mortgages",0.004820297887,685.79497468
2020-10,"Water",0.005553152881,40.90028405
2020-10,"Other",0.013027357551,279.5934301
2020-11,"Total",0.012279104468,274.77391885
2020-11,"Electricity and gas",0.009013860918,110.6807252
2020-11,"Fitness facilities",0.07061399482,25.08783823
2020-11,"Loans",0.025440509458,260.80833221
2020-11,"Mortgages",0.004600906773,687.68506939
2020-11,"Water",0.005641484966,39.78675926
2020-11,"Other",0.012454852413,288.14117926
2020-12,"Total",0.012202536038,265.35831399
2020-12,"Electricity and gas",0.009383878833,109.96153301
2020-12,"Fitness facilities",0.032791345675,21.96730029
2020-12,"Loans",0.024651200936,241.86039786
2020-12,"Mortgages",0.005160178268,686.72545531
2020-12,"Water",0.006508391502,39.16594353
2020-12,"Other",0.012262962355,279.01152159
2021-01,"Total",0.0133,82.84
2021-01,"Electricity and gas",0.0106,78.61
2021-01,"Fitness facilities",0.0344,23.02
2021-01,"Loans",0.0263,122.95
2021-01,"Mortgages",0.0051,611.46
2021-01,"Water",0.0064,34.5
2021-01,"Other",0.0136,75.68
2021-02,"Total",0.0118,78.01
2021-02,"Electricity and gas",0.0085,79.24
2021-02,"Fitness facilities",0.0191,28.84
2021-02,"Loans",0.0226,123.13
2021-02,"Mortgages",0.0044,615.28
2021-02,"Water",0.0057,33.98
2021-02,"Other",0.0121,69.12
2021-03,"Total",0.0117,79.53
2021-03,"Electricity and gas",0.0092,80.69
2021-03,"Fitness facilities",0.0163,29.21
2021-03,"Loans",0.0248,118.2
2021-03,"Mortgages",0.0042,612.93
2021-03,"Water",0.0051,39.9
2021-03,"Other",0.0119,71.49
2021-04,"Total",0.0128,83.96
2021-04,"Electricity and gas",0.0101,81.66
2021-04,"Fitness facilities",0.0293,17.53
2021-04,"Loans",0.0248,123.66
2021-04,"Mortgages",0.0048,618.73
2021-04,"Water",0.0065,38.05
2021-04,"Other",0.0131,76.62
2021-05,"Total",0.0132,82.97
2021-05,"Electricity and gas",0.0106,81.94
2021-05,"Fitness facilities",0.0487,25.18
2021-05,"Loans",0.0258,123.65
2021-05,"Mortgages",0.0052,621.05
2021-05,"Water",0.0063,37.61
2021-05,"Other",0.0134,75.81
2021-06,"Total",0.0147,83.39
2021-06,"Electricity and gas",0.0117,83.19
2021-06,"Fitness facilities",0.052,24.71
2021-06,"Loans",0.0289,126.94
2021-06,"Mortgages",0.0057,621.7
2021-06,"Water",0.007,37.72
2021-06,"Other",0.0149,76.19
2021-07,"Total",0.0148,85.26
2021-07,"Electricity and gas",0.0118,83.8
2021-07,"Fitness facilities",0.0448,24.75
2021-07,"Loans",0.03,124.73
2021-07,"Mortgages",0.0056,628.22
2021-07,"Water",0.0071,37.56
2021-07,"Other",0.015,78.01
2021-08,"Total",0.0151,84.86
2021-08,"Electricity and gas",0.0127,83.82
2021-08,"Fitness facilities",0.0418,25.39
2021-08,"Loans",0.0308,124.94
2021-08,"Mortgages",0.0058,625.75
2021-08,"Water",0.0074,37.66
2021-08,"Other",0.0153,77.68
2021-09,"Total",0.0151,86.39
2021-09,"Electricity and gas",0.0128,85.74
2021-09,"Fitness facilities",0.0403,25.92
2021-09,"Loans",0.0317,131.5
2021-09,"Mortgages",0.0058,628.45
2021-09,"Water",0.0072,39.91
2021-09,"Other",0.0153,79.17
2021-10,"Total",0.0152,86.67
2021-10,"Electricity and gas",0.0123,87.38
2021-10,"Fitness facilities",0.0395,25.8
2021-10,"Loans",0.0324,126.47
2021-10,"Mortgages",0.0057,631.61
2021-10,"Water",0.007,38.22
2021-10,"Other",0.0154,79.33
2021-11,"Total",0.0159,85.25
2021-11,"Electricity and gas",0.0132,88.77
2021-11,"Fitness facilities",0.0415,25.89
2021-11,"Loans",0.0331,129.65
2021-11,"Mortgages",0.0061,630.69
2021-11,"Water",0.0079,36.82
2021-11,"Other",0.0161,77.64
2021-12,"Total",0.0172,88.15
2021-12,"Electricity and gas",0.014,92.4
2021-12,"Fitness facilities",0.0421,25.57
2021-12,"Loans",0.0371,125.23
2021-12,"Mortgages",0.0071,632.54
2021-12,"Water",0.0094,35.83
2021-12,"Other",0.0172,80.43
2022-01,"Total",0.0179,88.43
2022-01,"Electricity and gas",0.0147,95.52
2022-01,"Fitness facilities",0.0411,26.72
2022-01,"Loans",0.0371,128.55
2022-01,"Mortgages",0.007,636.66
2022-01,"Water",0.0089,35.11
2022-01,"Other",0.0181,80.55
2022-02,"Total",0.016,83.85
2022-02,"Electricity and gas",0.0117,98.78
2022-02,"Fitness facilities",0.0436,26.07
2022-02,"Loans",0.0313,129.67
2022-02,"Mortgages",0.006,642.36
2022-02,"Water",0.0083,34.46
2022-02,"Other",0.0163,73.93
2022-03,"Total",0.0166,86.38
2022-03,"Electricity and gas",0.0127,105.87
2022-03,"Fitness facilities",0.044,26.29
2022-03,"Loans",0.0357,124.17
2022-03,"Mortgages",0.0061,640.63
2022-03,"Water",0.0072,40.08
2022-03,"Other",0.0168,77.15
2022-04,"Total",0.0173,92.58
2022-04,"Electricity and gas",0.0129,117.01
2022-04,"Fitness facilities",0.0442,25.99
2022-04,"Loans",0.0349,128.64
2022-04,"Mortgages",0.0066,647.85
2022-04,"Water",0.0083,38.45
2022-04,"Other",0.0176,83.2
2022-05,"Total",0.0169,89.97
2022-05,"Electricity and gas",0.0134,122.2
2022-05,"Fitness facilities",0.0429,27.06
2022-05,"Loans",0.0364,128.14
2022-05,"Mortgages",0.0068,651.82
2022-05,"Water",0.0075,37.81
2022-05,"Other",0.0171,80.74
2022-06,"Total",0.0177,90.84
2022-06,"Electricity and gas",0.0138,127.69
2022-06,"Fitness facilities",0.0451,26.76
2022-06,"Loans",0.038,131.35
2022-06,"Mortgages",0.0071,656.5
2022-06,"Water",0.0081,37.55
2022-06,"Other",0.0179,80.69
2022-07,"Total",0.0168,93.52
2022-07,"Electricity and gas",0.0138,132.72
2022-07,"Fitness facilities",0.0431,26.9
2022-07,"Loans",0.0371,127.88
2022-07,"Mortgages",0.0074,662.15
2022-07,"Water",0.0072,37.39
2022-07,"Other",0.0169,83.46
2022-08,"Total",0.0182,92.51
2022-08,"Electricity and gas",0.0147,135.32
2022-08,"Fitness facilities",0.0468,27.06
2022-08,"Loans",0.0393,129.24
2022-08,"Mortgages",0.0076,668.59
2022-08,"Water",0.0083,37.34
2022-08,"Other",0.0184,82.12
2022-09,"Total",0.018,94.65
2022-09,"Electricity and gas",0.0143,134.7
2022-09,"Fitness facilities",0.0439,27.72
2022-09,"Loans",0.039,129.54
2022-09,"Mortgages",0.0074,678.2
2022-09,"Water",0.0084,39.44
2022-09,"Other",0.0182,84.17
2022-10,"Total",0.0176,92.4
2022-10,"Electricity and gas",0.0141,131.53
2022-10,"Fitness facilities",0.0443,27.23
2022-10,"Loans",0.038,137.04
2022-10,"Mortgages",0.0074,688.95
2022-10,"Water",0.0077,37.96
2022-10,"Other",0.0178,82.07
2022-11,"Total",0.0166,91.61
2022-11,"Electricity and gas",0.0131,135.84
2022-11,"Fitness facilities",0.0416,27.45
2022-11,"Loans",0.0362,147.29
2022-11,"Mortgages",0.0074,696.7
2022-11,"Water",0.0073,36.28
2022-11,"Other",0.0168,80.47
2022-12,"Total",0.0186,94.84
2022-12,"Electricity and gas",0.0137,139.69
2022-12,"Fitness facilities",0.0442,27.21
2022-12,"Loans",0.04,162.74
2022-12,"Mortgages",0.0086,707.13
2022-12,"Water",0.0094,35.19
2022-12,"Other",0.0187,82.48
2023-01,"Total",0.0207,94.55
2023-01,"Electricity and gas",0.0162,145.11
2023-01,"Fitness facilities",0.0461,28.59
2023-01,"Loans",0.0443,162.33
2023-01,"Mortgages",0.0088,715.39
2023-01,"Water",0.0096,34.55
2023-01,"Other",0.0209,82.43
2023-02,"Total",0.019,91.15
2023-02,"Electricity and gas",0.0144,148.06
2023-02,"Fitness facilities",0.0474,28.27
2023-02,"Loans",0.0382,159.52
2023-02,"Mortgages",0.0079,723.36
2023-02,"Water",0.0087,33.69
2023-02,"Other",0.0193,76.78
2023-03,"Total",0.0197,93.96
2023-03,"Electricity and gas",0.0156,151.67
2023-03,"Fitness facilities",0.049,27.71
2023-03,"Loans",0.0422,161.9
2023-03,"Mortgages",0.0082,730.75
2023-03,"Water",0.0082,39.87
2023-03,"Other",0.0198,80.18
2023-04,"Total",0.0192,99.63
2023-04,"Electricity and gas",0.0157,160.74
2023-04,"Fitness facilities",0.0477,28.43
2023-04,"Loans",0.0388,167.21
2023-04,"Mortgages",0.0084,737.04
2023-04,"Water",0.0089,38.72
2023-04,"Other",0.0195,86.09
2023-05,"Total",0.0193,95.29
2023-05,"Electricity and gas",0.0154,160.46
2023-05,"Fitness facilities",0.0483,28.85
2023-05,"Loans",0.0398,162.46
2023-05,"Mortgages",0.009,739.11
2023-05,"Water",0.0085,38.86
2023-05,"Other",0.0195,82.7
2023-06,"Total",0.0197,97.62
2023-06,"Electricity and gas",0.016,158.28
2023-06,"Fitness facilities",0.0494,28.31
2023-06,"Loans",0.0391,166.15
2023-06,"Mortgages",0.0088,749.72
2023-06,"Water",0.0088,38.52
2023-06,"Other",0.02,83.92
2023-07,"Total",0.0191,97.24
2023-07,"Electricity and gas",0.0157,148.89
2023-07,"Fitness facilities",0.0491,29.16
2023-07,"Loans",0.0384,167.12
2023-07,"Mortgages",0.0087,756.65
2023-07,"Water",0.0082,38.55
2023-07,"Other",0.0194,84.84
2023-08,"Total",0.0198,97.16
2023-08,"Electricity and gas",0.0162,143.83
2023-08,"Fitness facilities",0.0507,28.94
2023-08,"Loans",0.0401,166.41
2023-08,"Mortgages",0.0089,761.51
2023-08,"Water",0.0089,38.73
2023-08,"Other",0.02,84.84
2023-09,"Total",0.0203,98.95
2023-09,"Electricity and gas",0.0165,141.08
2023-09,"Fitness facilities",0.0485,29.41
2023-09,"Loans",0.0411,166.59
2023-09,"Mortgages",0.0094,771.5
2023-09,"Water",0.0088,41.09
2023-09,"Other",0.0205,86.6
2023-10,"Total",0.0204,96.61
2023-10,"Electricity and gas",0.0187,137.7
2023-10,"Fitness facilities",0.0496,29.66
2023-10,"Loans",0.0416,167.34
2023-10,"Mortgages",0.0094,774.53
2023-10,"Water",0.0088,39.78
2023-10,"Other",0.0205,84.86
2023-11,"Total",0.019,96.6
2023-11,"Electricity and gas",0.0177,135.07
2023-11,"Fitness facilities",0.0468,29.46
2023-11,"Loans",0.0387,164.78
2023-11,"Mortgages",0.009,780.58
2023-11,"Water",0.0084,38.2
2023-11,"Other",0.0191,84.78
2023-12,"Total",0.0213,99.74
2023-12,"Electricity and gas",0.0186,134.57
2023-12,"Fitness facilities",0.0505,29.42
2023-12,"Loans",0.0441,171.11
2023-12,"Mortgages",0.0104,790.75
2023-12,"Water",0.0105,37.4
2023-12,"Other",0.0212,87.51
2024-01,"Total",0.0236,98.64
2024-01,"Electricity and gas",0.0207,134.64
2024-01,"Fitness facilities",0.0527,30.16
2024-01,"Loans",0.0471,168.74
2024-01,"Mortgages",0.0102,794.04
2024-01,"Water",0.0109,36.79
2024-01,"Other",0.0238,86.97
2024-02,"Total",0.0198,94.94
2024-02,"Electricity and gas",0.0172,135.5
2024-02,"Fitness facilities",0.0509,29.92
2024-02,"Loans",0.0382,165.14
2024-02,"Mortgages",0.0083,799.7
2024-02,"Water",0.0085,36.26
2024-02,"Other",0.02,81.19
2024-03,"Total",0.021,98.43
2024-03,"Electricity and gas",0.0188,135.26
2024-03,"Fitness facilities",0.0541,29.84
2024-03,"Loans",0.041,167.14
2024-03,"Mortgages",0.0086,805.97
2024-03,"Water",0.0088,42.84
2024-03,"Other",0.0211,85.11
2024-04,"Total",0.0215,99.98
2024-04,"Electricity and gas",0.0211,133.06
2024-04,"Fitness facilities",0.0546,30.5
2024-04,"Loans",0.042,167.86
2024-04,"Mortgages",0.0091,809.23
2024-04,"Water",0.0095,42.74
2024-04,"Other",0.0216,88.4
2024-05,"Total",0.0216,100.79
2024-05,"Electricity and gas",0.0205,129.38
2024-05,"Fitness facilities",0.0528,29.85
2024-05,"Loans",0.0419,168.38
2024-05,"Mortgages",0.009,816.08
2024-05,"Water",0.0097,42.14
2024-05,"Other",0.0216,88.76
2024-06,"Total",0.0208,99.44
2024-06,"Electricity and gas",0.0206,125.33
2024-06,"Fitness facilities",0.0533,30.85
2024-06,"Loans",0.0411,168.03
2024-06,"Mortgages",0.0093,823.25
2024-06,"Water",0.0092,42.52
2024-06,"Other",0.0208,87.77
2024-07,"Total",0.0214,100
2024-07,"Electricity and gas",0.0208,122.46
2024-07,"Fitness facilities",0.0541,30.44
2024-07,"Loans",0.0435,168.02
2024-07,"Mortgages",0.009,825.33
2024-07,"Water",0.0094,42.79
2024-07,"Other",0.0214,88.54
2024-08,"Total",0.0218,100.96
2024-08,"Electricity and gas",0.0208,119.76
2024-08,"Fitness facilities",0.0532,30.33
2024-08,"Loans",0.0436,172.26
2024-08,"Mortgages",0.0091,832.57
2024-08,"Water",0.0101,42.84
2024-08,"Other",0.0218,89.21
2024-09,"Total",0.0214,100.27
2024-09,"Electricity and gas",0.0215,118.89
2024-09,"Fitness facilities",0.0527,31.34
2024-09,"Loans",0.0428,166.65
2024-09,"Mortgages",0.009,835.05
2024-09,"Water",0.0097,45.5
2024-09,"Other",0.0214,88.9
2024-10,"Total",0.0211,99.72
2024-10,"Electricity and gas",0.0206,118.76
2024-10,"Fitness facilities",0.0513,31.05
2024-10,"Loans",0.0429,172.46
2024-10,"Mortgages",0.0085,838.6
2024-10,"Water",0.0093,44.03
2024-10,"Other",0.0211,88.2
2024-11,"Total",0.0208,99.95
2024-11,"Electricity and gas",0.019,121.06
2024-11,"Fitness facilities",0.0509,30.79
2024-11,"Loans",0.0413,164.94
2024-11,"Mortgages",0.0084,845.29
2024-11,"Water",0.0094,42.4
2024-11,"Other",0.0209,88.03
2024-12,"Total",0.0222,101.36
2024-12,"Electricity and gas",0.021,123.13
2024-12,"Fitness facilities",0.0523,30.86
2024-12,"Loans",0.0458,178.22
2024-12,"Mortgages",0.0099,846.5
2024-12,"Water",0.0111,41.66
2024-12,"Other",0.0221,89.48
2025-01,"Total",0.0239,102.14
2025-01,"Electricity and gas",0.0226,124.03
2025-01,"Fitness facilities",0.0511,31.14
2025-01,"Loans",0.0478,169.17
2025-01,"Mortgages",0.0094,849.59
2025-01,"Water",0.0116,41.09
2025-01,"Other",0.0239,90.16
2025-02,"Total",0.0219,96.78
2025-02,"Electricity and gas",0.0199,125.1
2025-02,"Fitness facilities",0.0562,30.82
2025-02,"Loans",0.042,165.79
2025-02,"Mortgages",0.0081,853.17
2025-02,"Water",0.01,40.47
2025-02,"Other",0.022,83.13
2025-03,"Total",0.0219,99.33
2025-03,"Electricity and gas",0.0218,126.27
2025-03,"Fitness facilities",0.0565,31.83
2025-03,"Loans",0.0449,164.35
2025-03,"Mortgages",0.0084,857.32
2025-03,"Water",0.0094,49.29
2025-03,"Other",0.0217,86.72
2025-04,"Total",0.0218,104.21
2025-04,"Electricity and gas",0.0217,125.69
2025-04,"Fitness facilities",0.0557,31.73
2025-04,"Loans",0.0432,174.11
2025-04,"Mortgages",0.0086,861.86
2025-04,"Water",0.0104,50.89
2025-04,"Other",0.0218,92.23
2025-05,"Total",0.0224,103.21
2025-05,"Electricity and gas",0.0236,125.46
2025-05,"Fitness facilities",0.0562,31.37
2025-05,"Loans",0.0452,171.85
2025-05,"Mortgages",0.0086,863.09
2025-05,"Water",0.0106,50.65
2025-05,"Other",0.0223,90.93
2025-06,"Total",0.0222,101.15
2025-06,"Electricity and gas",0.0249,125.08
2025-06,"Fitness facilities",0.0578,32.28
2025-06,"Loans",0.0442,165.73
2025-06,"Mortgages",0.0089,865.29
2025-06,"Water",0.0102,51.96
2025-06,"Other",0.022,88.95
2025-07,"Total",0.0226,103.44
2025-07,"Electricity and gas",0.0254,124.35
2025-07,"Fitness facilities",0.0575,32.12
2025-07,"Loans",0.0466,171.12
2025-07,"Mortgages",0.0086,867.98
2025-07,"Water",0.0102,53.08
2025-07,"Other",0.0223,91.39
2025-08,"Total",0.0226,103.63
2025-08,"Electricity and gas",0.0248,123.84
2025-08,"Fitness facilities",0.0574,32.14
2025-08,"Loans",0.0463,167
2025-08,"Mortgages",0.0089,872.88
2025-08,"Water",0.0105,53.99
2025-08,"Other",0.0224,91.24
2025-09,"Total",0.023,103.96
2025-09,"Electricity and gas",0.0295,123.41
2025-09,"Fitness facilities",0.0572,32.78
2025-09,"Loans",0.0471,174.48
2025-09,"Mortgages",0.0087,872.68
2025-09,"Water",0.0105,57.56
2025-09,"Other",0.0226,91.83
2025-10,"Total",0.0232,103.63
2025-10,"Electricity and gas",0.0299,124.51
2025-10,"Fitness facilities",0.0561,32.27
2025-10,"Loans",0.0476,166.99
2025-10,"Mortgages",0.0085,877.91
2025-10,"Water",0.0103,56.15
2025-10,"Other",0.0226,91.26
2025-11,"Total",0.0222,101.41
2025-11,"Electricity and gas",0.0247,122.02
2025-11,"Fitness facilities",0.057,33.18
2025-11,"Loans",0.0459,167.59
2025-11,"Mortgages",0.0088,881.91
2025-11,"Water",0.0103,54.7
2025-11,"Other",0.022,88.94
2025-12,"Total",0.0236,104.67
2025-12,"Electricity and gas",0.0278,124.5
2025-12,"Fitness facilities",0.0576,31.78
2025-12,"Loans",0.051,172.54
2025-12,"Mortgages",0.0096,881.41
2025-12,"Water",0.0113,53.92
2025-12,"Other",0.023,92.43
2026-01,"Total",0.0256,104.83
2026-01,"Electricity and gas",0.0305,125.03
2026-01,"Fitness facilities",0.0574,32.31
2026-01,"Loans",0.052,167.94
2026-01,"Mortgages",0.0094,887.42
2026-01,"Water",0.012,53.3
2026-01,"Other",0.0252,92.2
2026-02,"Total",0.0235,99.45
2026-02,"Electricity and gas",0.0264,125.8
2026-02,"Fitness facilities",0.0578,32.17
2026-02,"Loans",0.0467,165.76
2026-02,"Mortgages",0.0085,885.83
2026-02,"Water",0.0103,52.45
2026-02,"Other",0.0232,85.39
2026-03,"Total",0.0241,101.05
2026-03,"Electricity and gas",0.0288,126.07
2026-03,"Fitness facilities",0.0582,32.62
2026-03,"Loans",0.0541,165.44
2026-03,"Mortgages",0.0087,886.69
2026-03,"Water",0.0104,58.57
2026-03,"Other",0.0235,88.2
2026-04,"Total",0.0234,106.05
2026-04,"Electricity and gas",0.0276,123.75
2026-04,"Fitness facilities",0.0571,32.48
2026-04,"Loans",0.0488,166.87
2026-04,"Mortgages",0.0086,891.14
2026-04,"Water",0.0104,57.4
2026-04,"Other",0.0231,94.02
2026-05,"Total",0.0234,104.76
2026-05,"Electricity and gas",0.0259,121.34
2026-05,"Fitness facilities",0.0571,32.54
2026-05,"Loans",0.0515,164.45
2026-05,"Mortgages",0.0088,894.01
2026-05,"Water",0.0104,56.79
2026-05,"Other",0.023,92.66
2026-06,"Total",0.0237,104.32
2026-06,"Electricity and gas",0.0265,120.41
2026-06,"Fitness facilities",0.0581,32.73
2026-06,"Loans",0.0495,172.95
2026-06,"Mortgages",0.0091,897.02
2026-06,"Water",0.0106,56.96
2026-06,"Other",0.0235,92.24
2026-07,"Total",0.0243,106.2
2026-07,"Electricity and gas",0.0255,120.27
2026-07,"Fitness facilities",0.0596,32.57
2026-07,"Loans",0.0512,165.47
2026-07,"Mortgages",0.0091,902.79
2026-07,"Water",0.0108,56.92
2026-07,"Other",0.024,94.1
